name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date,us_local_price,big_mac_ex,over_under_value
Norway,NOR,NOK,45.0,5.41405,80115.69,503794.18,2011-07-01,3.64,12.362637362637361,1.283436126862028
New Zealand,NZL,NZD,5.1,1.156069364,28270.28,44571.3,2011-07-01,3.64,1.401098901098901,0.21195054962022253
Pakistan,PAK,PKR,205.13,86.345,1075.51,84544.66,2011-07-01,3.64,56.3543956043956,-0.34733458099026465
Peru,PER,PEN,10.0,2.7375,4181.71,12592.33,2011-07-01,3.64,2.7472527472527473,0.0035626473982639053
Philippines,PHL,PHP,118.0,42.41,1923.67,91638.5,2011-07-01,3.64,32.417582417582416,-0.2356146565059557
Poland,POL,PLN,8.63,2.7968,11532.28,35977.27,2011-07-01,3.64,2.370879120879121,-0.15228864385042878
Portugal,PRT,EUR,2.9,0.697520315,23126.18,16598.51,2011-07-01,3.64,0.7967032967032966,0.14219368177584427
Russia,RUS,RUB,75.0,27.7525,9156.97,291108.28,2011-07-01,3.64,20.604395604395602,-0.25756614343228174
Saudi Arabia,SAU,SAR,10.0,3.7502,18836.97,70638.63,2011-07-01,3.64,2.7472527472527473,-0.2674383373546085
Singapore,SGP,SGD,4.41,1.20705,38926.81,56619.62,2011-07-01,3.64,1.2115384615384615,0.0037185382034393743
Sweden,SWE,SEK,48.4,6.3352,46734.91,357700.54,2011-07-01,3.64,13.296703296703296,1.098860856279722
Thailand,THA,THB,70.0,29.75,4213.01,144446.3,2011-07-01,3.64,19.23076923076923,-0.35358758888170655
Turkey,TUR,TRY,6.5,1.72285,8941.4,13869.33,2011-07-01,3.64,1.7857142857142856,0.036488542655649416
Taiwan,TWN,TWD,75.0,28.834,16904.54,558805.04,2011-07-01,3.64,20.604395604395602,-0.28541320647861546
Ukraine,UKR,UAH,16.5,7.994,2557.28,19924.37,2011-07-01,3.64,4.532967032967033,-0.4329538362563131
Uruguay,URY,UYU,90.0,18.45,10232.12,230759.93,2011-07-01,3.64,24.725274725274723,0.34012329134280345
United States,USA,USD,3.64,1.0,47102.43,47102.43,2011-07-01,3.64,1.0,0.0
Venezuela,VEN,VEF,28.0,4.29465,9557.55,,2011-07-01,3.64,7.692307692307692,0.7911372736562216
South Africa,ZAF,ZAR,19.45,6.76885,6552.27,55282.01,2011-07-01,3.64,5.343406593406593,-0.2105887124981949
UAE,ARE,AED,12.0,3.673,36324.59,133402.07,2012-01-01,3.81,3.149606299212598,-0.14249760435268224
Argentina,ARG,ARS,20.0,4.3135,10412.97,40739.99,2012-01-01,3.81,5.2493438320209975,0.21695695653668648
Australia,AUS,AUD,4.8,0.972337012,56577.95,61531.26,2012-01-01,3.81,1.2598425196850394,0.2956850393812216
Austria,AUT,EUR,3.09,0.788239467,46955.17,35389.81,2012-01-01,3.81,0.8110236220472441,0.02890511830619117
Belgium,BEL,EUR,3.7,0.788239467,44448.17,33500.29,2012-01-01,3.81,0.9711286089238845,0.2320223099459247
Brazil,BRA,BRL,10.25,1.805,11578.7,20370.79,2012-01-01,3.81,2.690288713910761,0.490464661446405
Canada,CAN,CAD,4.73,1.02095,47627.35,49061.54,2012-01-01,3.81,1.241469816272966,0.21599472674760373
Switzerland,CHE,CHF,6.5,0.9551,76822.06,80118.16,2012-01-01,3.81,1.7060367454068242,0.7862388707013132
Chile,CHL,CLP,2050.0,506.05,12723.06,6491932.78,2012-01-01,3.81,538.0577427821522,0.0632501586447035
China,CHN,CNY,15.4,6.3155,4499.8,30464.79,2012-01-01,3.81,4.041994750656168,-0.3599881639369538
Colombia,COL,COP,8400.0,1852.15,6498.6,12340820.14,2012-01-01,3.81,2204.7244094488187,0.19035953321751403
Costa Rica,CRI,CRC,2050.0,509.54,8268.86,4348350.66,2012-01-01,3.81,538.0577427821522,0.05596762331152058
Czech Republic,CZE,CZK,70.22,20.36535,19983.58,381651.35,2012-01-01,3.81,18.43044619422572,-0.0950096023772869
Germany,DEU,EUR,3.53,0.788239467,42379.71,31941.31,2012-01-01,3.81,0.926509186351706,0.1754158794889497
Denmark,DNK,DKK,31.5,5.86135,58177.16,327192.72,2012-01-01,3.81,8.26771653543307,0.41054817327630505
Egypt,EGY,EGP,15.5,6.037,2922.8,16120.85,2012-01-01,3.81,4.0682414698162725,-0.3261153768732363
Spain,ESP,EUR,3.5,0.788239467,30566.88,23038.05,2012-01-01,3.81,0.9186351706036745,0.16542650940830708
Estonia,EST,EUR,2.04,0.788239467,14696.81,11071.26,2012-01-01,3.81,0.5354330708661418,-0.3207228345163009
Euro area,EUZ,EUR,3.49245637,0.788239467,38579.0290952277,29076.762791497,2012-01-01,3.81,0.9166552152230971,0.1629146390142592
Finland,FIN,EUR,3.75,0.788239467,46647.0,35157.54,2012-01-01,3.81,0.984251968503937,0.2486712600803291
France,FRA,EUR,3.6,0.788239467,42178.58,31789.72,2012-01-01,3.81,0.9448818897637795,0.1987244096771159
Britain,GBR,GBP,2.49,0.651253663,39736.21,25691.22,2012-01-01,3.81,0.6535433070866142,0.003515748496625732
Greece,GRC,EUR,3.3,0.788239467,26743.4,20156.33,2012-01-01,3.81,0.8661417322834645,0.09883070887068947
Hong Kong,HKG,HKD,16.5,7.76735,32421.36,251886.96,2012-01-01,3.81,4.330708661417323,-0.44244708151205714
Hungary,HUN,HUF,645.0,245.69425,13199.06,2744666.77,2012-01-01,3.81,169.29133858267716,-0.3109674378514062
Indonesia,IDN,IDR,22534.0,9160.0,3178.13,28884425.18,2012-01-01,3.81,5914.435695538058,-0.35431924721200236
India,IND,INR,84.0,51.905,1377.11,62744.11,2012-01-01,3.81,22.04724409448819,-0.5752385301129335
Ireland,IRL,EUR,3.8,0.788239467,48620.63,36645.05,2012-01-01,3.81,0.9973753280839894,0.2653202102147334
Israel,ISR,ILS,15.9,3.8485,31278.05,116947.83,2012-01-01,3.81,4.173228346456693,0.08437789956000846
Italy,ITA,EUR,3.5,0.788239467,35815.62,26993.99,2012-01-01,3.81,0.9186351706036745,0.16542650940830708
Japan,JPN,JPY,320.0,76.92,45135.8,3962014.51,2012-01-01,3.81,83.98950131233596,0.09190719334810138
South Korea,KOR,KRW,3700.0,1158.75,23077.16,26690241.17,2012-01-01,3.81,971.1286089238845,-0.16191705810236506
Sri Lanka,LKA,LKR,290.0,113.93,2894.26,327201.3,2012-01-01,3.81,76.11548556430446,-0.33191007140959833
Mexico,MEX,MXN,37.0,13.6844,9718.13,122798.35,2012-01-01,3.81,9.711286089238845,-0.29033891955519825
Malaysia,MYS,MYR,7.35,3.13955,9046.98,29141.13,2012-01-01,3.81,1.9291338582677164,-0.3855380999609127
Netherlands,NLD,EUR,3.25,0.788239467,51165.82,38563.34,2012-01-01,3.81,0.8530183727034121,0.08218175873628521
Norway,NOR,NOK,41.0,6.0399,87823.81,530821.71,2012-01-01,3.81,10.761154855643044,0.7816776528821741
New Zealand,NZL,NZD,5.1,1.26000126,33393.53,46296.58,2012-01-01,3.81,1.3385826771653542,0.06236614173334579
Pakistan,PAK,PKR,260.0,90.05,1107.55,92939.89,2012-01-01,3.81,68.24146981627297,-0.24218245623239346
Peru,PER,PEN,10.0,2.6925,5057.07,14286.44,2012-01-01,3.81,2.6246719160104988,-0.02519148894688993
Philippines,PHL,PHP,118.0,44.005,2237.16,100917.45,2012-01-01,3.81,30.971128608923884,-0.2961906917640295
Poland,POL,PLN,9.1,3.52045,12510.81,37723.83,2012-01-01,3.81,2.388451443569554,-0.3215493918193544
Portugal,PRT,EUR,2.9,0.788239467,22539.04,16987.53,2012-01-01,3.81,0.7611548556430446,-0.03436089220454549
Russia,RUS,RUB,81.0,31.7693,11431.15,347304.31,2012-01-01,3.81,21.25984251968504,-0.3308054467777055
Saudi Arabia,SAU,SAR,10.0,3.7502,22028.37,82606.38,2012-01-01,3.81,2.6246719160104988,-0.3001248157403608
Singapore,SGP,SGD,4.85,1.2928,47236.67,64407.6,2012-01-01,3.81,1.2729658792650917,-0.015341986954601022
Sweden,SWE,SEK,41.0,6.9338,52658.79,379539.53,2012-01-01,3.81,10.761154855643044,0.5519851820997208
Thailand,THA,THB,78.0,31.75,5076.34,160847.38,2012-01-01,3.81,20.47244094488189,-0.35519871039742085
Turkey,TUR,TRY,6.6,1.86295,10533.45,15838.54,2012-01-01,3.81,1.732283464566929,-0.07013958261524526
Taiwan,TWN,TWD,75.0,29.9795,19181.36,607040.43,2012-01-01,3.81,19.68503937007874,-0.34338333294155204
Ukraine,UKR,UAH,17.0,8.0405,2982.81,23670.8,2012-01-01,3.81,4.4619422572178475,-0.44506656834551983
Uruguay,URY,UYU,90.0,19.45,12943.94,259543.31,2012-01-01,3.81,23.62204724409449,0.2145011436552437
United States,USA,USD,3.81,1.0,48586.29,48586.29,2012-01-01,3.81,1.0,0.0
Venezuela,VEN,VEF,30.0,4.29465,11158.18,,2012-01-01,3.81,7.874015748031496,0.8334476029551876
South Africa,ZAF,ZAR,19.95,8.1304,8130.19,59529.95,2012-01-01,3.81,5.2362204724409445,-0.35597012786075166
UAE,ARE,AED,12.0,3.67295,36324.59,133402.07,2012-07-01,3.96,3.0303030303030303,-0.17496752465918944
Argentina,ARG,ARS,19.0,4.56625,10412.97,40739.99,2012-07-01,3.96,4.7979797979797985,0.050748381709235874
Australia,AUS,AUD,4.56,0.974326497,56577.95,61531.26,2012-07-01,3.96,1.1515151515151514,0.1818575755259907
Austria,AUT,EUR,3.19,0.824844311,46955.17,35389.81,2012-07-01,3.96,0.8055555555555556,-0.023384722652763035
Belgium,BEL,EUR,3.8,0.824844311,44448.17,33500.29,2012-07-01,3.96,0.9595959595959596,0.1633661611032916
Brazil,BRA,BRL,10.08,2.04215,11578.7,20370.79,2012-07-01,3.96,2.5454545454545454,0.24645816686068386
Canada,CAN,CAD,5.12,1.01945,47627.35,49061.54,2012-07-01,3.96,1.292929292929293,0.26826160471753696
Switzerland,CHE,CHF,6.5,0.9906,76822.06,80118.16,2012-07-01,3.96,1.6414141414141414,0.6569898459662239
Chile,CHL,CLP,2050.0,493.05,12723.06,6491932.78,2012-07-01,3.96,517.6767676767677,0.04994780991130242
China,CHN,CNY,15.65,6.3885,4499.8,30464.79,2012-07-01,3.96,3.952020202020202,-0.38138527009153916
Colombia,COL,COP,8600.0,1804.475,6498.6,12340820.14,2012-07-01,3.96,2171.717171717172,0.20351746170890256
Czech Republic,CZE,CZK,70.33,21.048,19983.58,381651.35,2012-07-01,3.96,17.76010101010101,-0.1562095681251895
Germany,DEU,EUR,3.64,0.824844311,42379.71,31941.31,2012-07-01,3.96,0.9191919191919192,0.11438232274104783
Denmark,DNK,DKK,28.5,6.1356,58177.16,327192.72,2012-07-01,3.96,7.196969696969697,0.17298547769895317
Egypt,EGY,EGP,16.0,6.0665,2922.8,16120.85,2012-07-01,3.96,4.040404040404041,-0.33398103677506946
Spain,ESP,EUR,3.5,0.824844311,30566.88,23038.05,2012-07-01,3.96,0.8838383838383839,0.07152146417408445
Estonia,EST,EUR,2.04,0.824844311,14696.81,11071.26,2012-07-01,3.96,0.5151515151515151,-0.37545606088139083
Euro area,EUZ,EUR,3.583482241,0.824844311,38579.0290952277,29076.762791497,2012-07-01,3.96,0.9049197578282828,0.0970794679194712
Finland,FIN,EUR,3.75,0.824844311,46647.0,35157.54,2012-07-01,3.96,0.946969696969697,0.1480587116150905
France,FRA,EUR,3.6,0.824844311,42178.58,31789.72,2012-07-01,3.96,0.9090909090909092,0.10213636315048692
Britain,GBR,GBP,2.69,0.646266197,39736.21,25691.22,2012-07-01,3.96,0.6792929292929293,0.05110391421714618
Greece,GRC,EUR,2.683,0.824844311,26743.4,20156.33,2012-07-01,3.96,0.6775252525252525,-0.17860226046312327
Hong Kong,HKG,HKD,16.5,7.75815,32421.36,251886.96,2012-07-01,3.96,4.166666666666667,-0.4629303807393944
Hungary,HUN,HUF,830.0,238.2151,13199.06,2744666.77,2012-07-01,3.96,209.59595959595958,-0.12013990886404943
Indonesia,IDN,IDR,24200.0,9482.5,3178.13,28884425.18,2012-07-01,3.96,6111.111111111111,-0.35553797931862785
India,IND,INR,89.0,56.165,1377.11,62744.11,2012-07-01,3.96,22.474747474747474,-0.5998442539882939
Ireland,IRL,EUR,3.49,0.824844311,48620.63,36645.05,2012-07-01,3.96,0.8813131313131314,0.06845997427644425
Israel,ISR,ILS,11.9,4.07625,31278.05,116947.83,2012-07-01,3.96,3.005050505050505,-0.262790431143697
Italy,ITA,EUR,3.6,0.824844311,35815.62,26993.99,2012-07-01,3.96,0.9090909090909092,0.10213636315048692
Japan,JPN,JPY,320.0,78.22,45135.8,3962014.51,2012-07-01,3.96,80.8080808080808,0.03308720030785993
South Korea,KOR,KRW,3700.0,1151.0,23077.16,26690241.17,2012-07-01,3.96,934.3434343434343,-0.18823333245574778
Sri Lanka,LKA,LKR,290.0,131.0,2894.26,327201.3,2012-07-01,3.96,73.23232323232324,-0.44097463181432645
Mexico,MEX,MXN,37.0,13.687,9718.13,122798.35,2012-07-01,3.96,9.343434343434344,-0.3173497228439874
Malaysia,MYS,MYR,7.4,3.1735,9046.98,29141.13,2012-07-01,3.96,1.8686868686868687,-0.41115901412104344
Netherlands,NLD,EUR,3.38,0.824844311,51165.82,38563.34,2012-07-01,3.96,0.8535353535353535,0.03478358540240145
Norway,NOR,NOK,43.0,6.09205,87823.81,530821.71,2012-07-01,3.96,10.858585858585858,0.7824190311284145
New Zealand,NZL,NZD,5.1,1.273560876,33393.53,46296.58,2012-07-01,3.96,1.2878787878787878,0.01124242440907705
Pakistan,PAK,PKR,285.0,94.605,1107.55,92939.89,2012-07-01,3.96,71.96969696969697,-0.23926117044873985
Philippines,PHL,PHP,118.0,42.2,2237.16,100917.45,2012-07-01,3.96,29.7979797979798,-0.2938867346450285
Poland,POL,PLN,9.1,3.46035,12510.81,37723.83,2012-07-01,3.96,2.297979797979798,-0.33591116563937234
Portugal,PRT,EUR,4.95,0.824844311,22539.04,16987.53,2012-07-01,3.96,1.25,0.5154374993319194
Russia,RUS,RUB,75.0,32.76525,11431.15,347304.31,2012-07-01,3.96,18.93939393939394,-0.4219670553591399
Saudi Arabia,SAU,SAR,10.0,3.75025,22028.37,82606.38,2012-07-01,3.96,2.525252525252525,-0.32664421698486096
Singapore,SGP,SGD,4.4,1.2585,47236.67,64407.6,2012-07-01,3.96,1.1111111111111112,-0.11711473094071419
Sweden,SWE,SEK,39.97301987,6.9777,52658.79,379539.53,2012-07-01,3.96,10.094196936868688,0.44663670505591935
Thailand,THA,THB,82.0,31.7,5076.34,160847.38,2012-07-01,3.96,20.707070707070706,-0.3467801038778957
Turkey,TUR,TRY,8.25,1.8269,10533.45,15838.54,2012-07-01,3.96,2.0833333333333335,0.14036528180706853
Taiwan,TWN,TWD,75.0,30.1955,19181.36,607040.43,2012-07-01,3.96,18.93939393939394,-0.37277428956652675
Ukraine,UKR,UAH,15.0,8.0855,2982.81,23670.8,2012-07-01,3.96,3.787878787878788,-0.5315220100329245
Uruguay,URY,UYU,99.0,21.87,12943.94,259543.31,2012-07-01,3.96,25.0,0.1431184270690443
United States,USA,USD,3.96,1.0,48586.29,48586.29,2012-07-01,3.96,1.0,0.0
Venezuela,VEN,VEF,34.0,4.29465,11158.18,,2012-07-01,3.96,8.585858585858587,0.9991986741314396
South Africa,ZAF,ZAR,19.95,8.4683,8130.19,59529.95,2012-07-01,3.96,5.037878787878788,-0.4050897124713592
UAE,ARE,AED,12.0,3.67305,42986.88,157869.31,2013-01-01,4.03,2.9776674937965257,-0.18932018518764357
Argentina,ARG,ARS,19.0,4.9765,12787.81,52810.12,2013-01-01,4.03,4.714640198511166,-0.052619270870859804
Australia,AUS,AUD,4.7,0.959094615,67270.22,65170.91,2013-01-01,4.03,1.1662531017369726,0.2159937961250805
Austria,AUT,EUR,3.39,0.736946829,51452.28,36970.54,2013-01-01,4.03,0.8411910669975186,0.14145421880568074
Belgium,BEL,EUR,3.8,0.736946829,47564.38,34176.93,2013-01-01,4.03,0.9429280397022332,0.27950620397096954
Brazil,BRA,BRL,11.25,1.99335,13631.42,22821.61,2013-01-01,4.03,2.791563275434243,0.40043809438093814
Canada,CAN,CAD,5.41,1.0029,52285.94,51724.29,2013-01-01,4.03,1.3424317617866004,0.3385499668826409
Switzerland,CHE,CHF,6.5,0.9123,90938.47,80757.18,2013-01-01,4.03,1.6129032258064515,0.7679526754427837
Chile,CHL,CLP,2050.0,471.75,14560.25,7042319.42,2013-01-01,4.03,508.68486352357314,0.07829329840715027
China,CHN,CNY,16.0,6.2204,5553.24,35882.28,2013-01-01,4.03,3.9702233250620345,-0.36174147561860415
Colombia,COL,COP,8600.0,1773.175,7518.3,13893951.48,2013-01-01,4.03,2133.9950372208436,0.20348811438286898
Costa Rica,CRI,CRC,2200.0,500.83,9270.57,4687846.11,2013-01-01,4.03,545.9057071960298,0.0900020110537104
Czech Republic,CZE,CZK,70.33,18.89495,21890.78,387377.44,2013-01-01,4.03,17.451612903225804,-0.07638745256135619
Germany,DEU,EUR,3.64,0.736946829,46697.38,33553.95,2013-01-01,4.03,0.9032258064516129,0.225632258540613
Denmark,DNK,DKK,28.5,5.49795,61864.09,332130.47,2013-01-01,4.03,7.071960297766749,0.2862903987425765
Egypt,EGY,EGP,16.0,6.68575,3077.34,17909.05,2013-01-01,4.03,3.9702233250620345,-0.40616635006363766
Spain,ESP,EUR,3.5,0.736946829,31676.69,22760.98,2013-01-01,4.03,0.8684863523573201,0.17849255628905097
Estonia,EST,EUR,2.7,0.736946829,17484.73,12563.48,2013-01-01,4.03,0.6699751861042184,-0.0908771708627321
Euro area,EUZ,EUR,3.594849572,0.736946829,41420.54776922,29762.3437719851,2013-01-01,4.03,0.8920222263027295,0.21042956045168026
Finland,FIN,EUR,3.75,0.736946829,51263.57,36834.95,2013-01-01,4.03,0.9305210918114143,0.26267059602398307
France,FRA,EUR,3.6,0.736946829,45419.97,32636.08,2013-01-01,4.03,0.8933002481389578,0.21216377218302387
Britain,GBR,GBP,2.69,0.633211968,42147.69,26297.09,2013-01-01,4.03,0.6674937965260546,0.05413957767465088
Greece,GRC,EUR,3.3,0.736946829,25437.01,18277.52,2013-01-01,4.03,0.8188585607940446,0.11115012450110516
Hong Kong,HKG,HKD,17.0,7.7591,34955.15,272090.86,2013-01-01,4.03,4.218362282878411,-0.45633355893358624
Hungary,HUN,HUF,830.0,217.46935,14214.13,2857821.15,2013-01-01,4.03,205.95533498759303,-0.052945461107079955
Indonesia,IDN,IDR,27939.0,9767.5,3688.53,32363747.86,2013-01-01,4.03,6932.754342431761,-0.29022223266631575
India,IND,INR,89.0,53.395,1449.6,69467.1,2013-01-01,4.03,22.084367245657567,-0.5863963433718968
Ireland,IRL,EUR,3.49,0.736946829,52159.12,37478.43,2013-01-01,4.03,0.8660049627791563,0.17512543469965364
Israel,ISR,ILS,14.9,3.72455,34366.86,122969.06,2013-01-01,4.03,3.69727047146402,-0.0073242481738679645
Italy,ITA,EUR,3.85,0.736946829,38276.03,27502.88,2013-01-01,4.03,0.955334987593052,0.29634181191795594
Japan,JPN,JPY,320.0,91.065,48760.92,3891463.33,2013-01-01,4.03,79.40446650124069,-0.12804626913478623
South Korea,KOR,KRW,3700.0,1085.475,25100.19,27813991.0,2013-01-01,4.03,918.1141439205954,-0.1541821378469375
Sri Lanka,LKA,LKR,350.0,126.45,3320.07,367240.6,2013-01-01,4.03,86.848635235732,-0.3131780527027916
Mexico,MEX,MXN,37.0,12.7384,10653.04,132346.14,2013-01-01,4.03,9.181141439205955,-0.2792547384910228
Malaysia,MYS,MYR,7.95,3.083,10397.9,31817.67,2013-01-01,4.03,1.9727047146401984,-0.3601347017060661
Netherlands,NLD,EUR,3.45,0.736946829,54342.11,39047.0,2013-01-01,4.03,0.8560794044665012,0.1616569483420645
Norway,NOR,NOK,43.0,5.4831,100815.93,565033.71,2013-01-01,4.03,10.669975186104217,0.9459749386486143
New Zealand,NZL,NZD,5.2,1.202428906,38059.16,48105.01,2013-01-01,4.03,1.2903225806451613,0.07309677454241215
Pakistan,PAK,PKR,290.0,97.665,1271.73,108824.83,2013-01-01,4.03,71.96029776674938,-0.2631925688143207
Peru,PER,PEN,10.0,2.5595,5736.33,15799.04,2013-01-01,4.03,2.4813895781637716,-0.030517844046191952
Philippines,PHL,PHP,118.0,40.6,2473.25,107124.2,2013-01-01,4.03,29.280397022332505,-0.278807955114963
Poland,POL,PLN,9.1,3.092,13776.57,40817.92,2013-01-01,4.03,2.258064516129032,-0.269707465676251
Portugal,PRT,EUR,2.95,0.736946829,23213.13,16679.57,2013-01-01,4.03,0.7320099255583127,-0.006699131127799847
Russia,RUS,RUB,72.88,30.045,14306.43,420213.06,2013-01-01,4.03,18.084367245657567,-0.3980906225442647
Saudi Arabia,SAU,SAR,11.0,3.7502,26966.31,101123.64,2013-01-01,4.03,2.729528535980149,-0.27216454162974
Singapore,SGP,SGD,4.5,1.23485,53891.46,67783.38,2013-01-01,4.03,1.1166253101736971,-0.095740122141396
Sweden,SWE,SEK,40.55930138,6.3492,60540.22,393120.53,2013-01-01,4.03,10.064342774193548,0.585135572071056
Thailand,THA,THB,87.0,29.755,5492.12,167464.12,2013-01-01,4.03,21.58808933002481,-0.27447187598639516
Turkey,TUR,TRY,8.45,1.76875,11221.4,18801.56,2013-01-01,4.03,2.096774193548387,0.18545537444431773
Taiwan,TWN,TWD,75.0,29.502,20838.59,614090.64,2013-01-01,4.03,18.610421836228287,-0.3691810102288561
Ukraine,UKR,UAH,19.0,8.144,3587.41,28600.59,2013-01-01,4.03,4.714640198511166,-0.4210903489057999
Uruguay,URY,UYU,105.0,19.28,15341.31,296143.5,2013-01-01,4.03,26.0545905707196,0.3513791789792323
United States,USA,USD,4.03,1.0,50008.11,50008.11,2013-01-01,4.03,1.0,0.0
Venezuela,VEN,VEF,39.0,4.29465,10934.28,,2013-01-01,4.03,9.67741935483871,1.2533662475029888
South Africa,ZAF,ZAR,20.9,9.047,8799.48,63823.34,2013-01-01,4.03,5.186104218362282,-0.42675978574529877
UAE,ARE,AED,12.0,3.673,42986.88,157869.31,2013-07-01,4.18,2.870813397129187,-0.2184009264554351
Argentina,ARG,ARS,21.0,5.4125,12787.81,52810.12,2013-07-01,4.18,5.023923444976077,-0.07179243510834594
Australia,AUS,AUD,5.035,1.089858863,67270.22,65170.91,2013-07-01,4.18,1.2045454545454546,0.10523068209929738
Austria,AUT,EUR,3.39,0.777756173,51452.28,36970.54,2013-07-01,4.18,0.8110047846889953,0.04274940250328979
Belgium,BEL,EUR,3.7,0.777756173,47564.38,34176.93,2013-07-01,4.18,0.8851674641148326,0.13810406762895935
Brazil,BRA,BRL,12.0,2.27065,13631.42,22821.61,2013-07-01,4.18,2.870813397129187,0.26431347725505344
Canada,CAN,CAD,5.53,1.05125,52285.94,51724.29,2013-07-01,4.18,1.3229665071770336,0.25846992359289755
Switzerland,CHE,CHF,6.5,0.9674,90938.47,80757.18,2013-07-01,4.18,1.555023923444976,0.607426011417176
Chile,CHL,CLP,2000.0,508.155,14560.25,7042319.42,2013-07-01,4.18,478.4688995215311,-0.05841938085518958
China,CHN,CNY,16.0,6.1341,5553.24,35882.28,2013-07-01,4.18,3.8277511961722492,-0.3759881325423046
Colombia,COL,COP,8600.0,1921.0,7518.3,13893951.48,2013-07-01,4.18,2057.416267942584,0.07101315353596252
Costa Rica,CRI,CRC,2150.0,498.675,9270.57,4687846.11,2013-07-01,4.18,514.354066985646,0.03144145382392538
Czech Republic,CZE,CZK,70.45,20.1828,21890.78,387377.44,2013-07-01,4.18,16.854066985645936,-0.16492919784936005
Germany,DEU,EUR,3.64,0.777756173,46697.38,33553.95,2013-07-01,4.18,0.8708133971291867,0.11964832599173303
Denmark,DNK,DKK,28.5,5.8006,61864.09,332130.47,2013-07-01,4.18,6.818181818181818,0.17542699344581908
Egypt,EGY,EGP,16.75,7.00915,3077.34,17909.05,2013-07-01,4.18,4.007177033492823,-0.428293440218454
Spain,ESP,EUR,3.5,0.777756173,31676.69,22760.98,2013-07-01,4.18,0.8373205741626795,0.07658492883820477
Estonia,EST,EUR,2.75,0.777756173,17484.73,12563.48,2013-07-01,4.18,0.6578947368421053,-0.15411184162712482
Euro area,EUZ,EUR,3.623870489,0.777756173,41420.54776922,29762.3437719851,2013-07-01,4.18,0.8669546624401915,0.11468695786255301
Finland,FIN,EUR,4.1,0.777756173,51263.57,36834.95,2013-07-01,4.18,0.9808612440191388,0.26114234521046836
France,FRA,EUR,3.9,0.777756173,45419.97,32636.08,2013-07-01,4.18,0.9330143540669857,0.19962320641971393
Britain,GBR,GBP,2.69,0.669142494,42147.69,26297.09,2013-07-01,4.18,0.6435406698564594,-0.038260646085257616
Greece,GRC,EUR,2.6,0.777756173,25437.01,18277.52,2013-07-01,4.18,0.6220095693779905,-0.20025119572019076
Hong Kong,HKG,HKD,17.0,7.75665,34955.15,272090.86,2013-07-01,4.18,4.0669856459330145,-0.4756775610691452
Hungary,HUN,HUF,860.0,228.462,14214.13,2857821.15,2013-07-01,4.18,205.7416267942584,-0.0994492441007327
Indonesia,IDN,IDR,27939.0,9965.0,3688.53,32363747.86,2013-07-01,4.18,6683.971291866029,-0.3292552642382309
India,IND,INR,90.0,59.98,1449.6,69467.1,2013-07-01,4.18,21.5311004784689,-0.6410286682482678
Ireland,IRL,EUR,3.46,0.777756173,52159.12,37478.43,2013-07-01,4.18,0.8277511961722489,0.06428110108005393
Israel,ISR,ILS,17.5,3.64595,34366.86,122969.06,2013-07-01,4.18,4.186602870813397,0.1482886136160389
Italy,ITA,EUR,3.75,0.777756173,38276.03,27502.88,2013-07-01,4.18,0.8971291866028709,0.153483852326648
Japan,JPN,JPY,320.0,100.105,48760.92,3891463.33,2013-07-01,4.18,76.55502392344498,-0.2352527453828982
South Korea,KOR,KRW,3900.0,1135.7,25100.19,27813991.0,2013-07-01,4.18,933.0143540669857,-0.1784675934956541
Sri Lanka,LKA,LKR,370.0,130.8,3320.07,367240.6,2013-07-01,4.18,88.51674641148325,-0.3232664647440119
Mexico,MEX,MXN,37.0,12.94115,10653.04,132346.14,2013-07-01,4.18,8.851674641148326,-0.3160055604680939
Malaysia,MYS,MYR,7.3,3.1805,10397.9,31817.67,2013-07-01,4.18,1.7464114832535886,-0.45090033540211016
Netherlands,NLD,EUR,3.45,0.777756173,54342.11,39047.0,2013-07-01,4.18,0.8253588516746413,0.061205144140516254
Norway,NOR,NOK,46.0,6.1281,100815.93,565033.71,2013-07-01,4.18,11.004784688995215,0.7957906510982549
New Zealand,NZL,NZD,5.5,1.279344975,38059.16,48105.01,2013-07-01,4.18,1.3157894736842106,0.028486842404809937
Pakistan,PAK,PKR,300.0,100.035,1271.73,108824.83,2013-07-01,4.18,71.77033492822967,-0.28254775900205253
Peru,PER,PEN,10.0,2.783,5736.33,15799.04,2013-07-01,4.18,2.3923444976076556,-0.14037208134830914
Philippines,PHL,PHP,115.21,43.44,2473.25,107124.2,2013-07-01,4.18,27.5622009569378,-0.365511027694802
Poland,POL,PLN,9.2,3.3655,13776.57,40817.92,2013-07-01,4.18,2.200956937799043,-0.34602378909551534
Portugal,PRT,EUR,2.95,0.777756173,23213.13,16679.57,2013-07-01,4.18,0.7057416267942584,-0.09259270283637022
Russia,RUS,RUB,87.0,32.9389,14306.43,420213.06,2013-07-01,4.18,20.813397129186605,-0.3681210626588439
Saudi Arabia,SAU,SAR,10.0,3.7502,26966.31,101123.64,2013-07-01,4.18,2.3923444976076556,-0.3620754899451614
Singapore,SGP,SGD,4.7,1.2747,53891.46,67783.38,2013-07-01,4.18,1.1244019138755983,-0.11790859506111372
Sweden,SWE,SEK,41.61,6.7583,60540.22,393120.53,2013-07-01,4.18,9.954545454545455,0.47293630861983854
