name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date,us_local_price,big_mac_ex,over_under_value
New Zealand,NZL,NZD,3.6,2.47,15347.12,28981.84,2001-04-01,2.24,1.607142857142857,-0.34933487565066523
Philippines,PHL,PHP,59.0,50.3,1112.35,43480.8,2001-04-01,2.24,26.33928571428571,-0.4763561488213576
Poland,POL,PLN,5.9,4.03,4348.15,17249.86,2001-04-01,2.24,2.633928571428571,-0.34641970932293525
Russia,RUS,RUB,35.0,28.9,1427.31,35181.56,2001-04-01,2.24,15.624999999999998,-0.45934256055363326
Singapore,SGP,SGD,3.3,1.81,21796.64,36944.36,2001-04-01,2.24,1.4732142857142856,-0.18606945540647207
Sweden,SWE,SEK,24.0,10.28,30928.57,255545.1,2001-04-01,2.24,10.714285714285714,0.04224569205113951
Thailand,THA,THB,55.0,45.5,2031.17,76885.01,2001-04-01,2.24,24.553571428571427,-0.4603610675039247
Taiwan,TWN,TWD,70.0,32.9,13752.72,443795.55,2001-04-01,2.24,31.249999999999996,-0.05015197568389065
United States,USA,USD,2.24,1.0,34496.24,34496.24,2001-04-01,2.24,1.0,0.0
South Africa,ZAF,ZAR,9.7,8.13,3423.6,20929.01,2001-04-01,2.24,4.330357142857142,-0.46736074503602193
Argentina,ARG,ARS,2.5,3.13,8638.54,8638.54,2002-04-01,2.35,1.0638297872340425,-0.660118278838964
Australia,AUS,AUD,3.0,1.86,20895.37,35885.21,2002-04-01,2.35,1.276595744680851,-0.3136582017844888
Brazil,BRA,BRL,3.6,2.34,3864.92,7070.51,2002-04-01,2.35,1.5319148936170213,-0.34533551554828146
Canada,CAN,CAD,3.33,1.57,24296.72,36090.21,2002-04-01,2.35,1.4170212765957446,-0.09743867732755124
Switzerland,CHE,CHF,6.3,1.66,38976.04,65824.39,2002-04-01,2.35,2.680851063829787,0.6149705203793898
Chile,CHL,CLP,1400.0,655.0,5099.92,2751361.08,2002-04-01,2.35,595.7446808510638,-0.09046613610524615
China,CHN,CNY,10.5,8.28,951.163,7874.12,2002-04-01,2.35,4.468085106382978,-0.4603761948812828
Czech Republic,CZE,CZK,56.28,34.0,6015.07,232172.24,2002-04-01,2.35,23.948936170212765,-0.29561952440550693
Denmark,DNK,DKK,24.75,8.38,30798.72,248950.47,2002-04-01,2.35,10.53191489361702,0.25679175341491883
Euro area,EUZ,EUR,2.67,1.123595506,21530.7373676414,23301.1775113842,2002-04-01,2.35,1.1361702127659574,0.01119148901789698
Britain,GBR,GBP,1.99,0.689655172,28347.7,18699.57,2002-04-01,2.35,0.8468085106382979,0.22787234116225524
Hong Kong,HKG,HKD,11.2,8.0,25574.49,199284.96,2002-04-01,2.35,4.76595744680851,-0.4042553191489362
Hungary,HUN,HUF,459.0,272.0,4619.29,1303468.21,2002-04-01,2.35,195.3191489361702,-0.2819148936170213
Indonesia,IDN,IDR,16000.0,9430.0,870.154,7328240.7,2002-04-01,2.35,6808.510638297872,-0.2779946300850613
Israel,ISR,ILS,12.0,4.79,21641.3,88238.79,2002-04-01,2.35,5.106382978723404,0.06605072624705711
Japan,JPN,JPY,262.0,130.0,39172.97,4221494.69,2002-04-01,2.35,111.48936170212765,-0.14238952536824884
South Korea,KOR,KRW,3100.0,1304.0,12263.47,13862167.32,2002-04-01,2.35,1319.1489361702127,0.011617282339120141
Mexico,MEX,MXN,21.9,9.28,7511.86,71028.84,2002-04-01,2.35,9.319148936170212,0.0042186353631694425
Malaysia,MYS,MYR,5.04,3.8,4347.73,16521.37,2002-04-01,2.35,2.1446808510638298,-0.43561030235162373
Norway,NOR,NOK,35.0,8.56,38094.6,335302.61,2002-04-01,2.35,14.893617021276595,0.7399085305229667
New Zealand,NZL,NZD,3.6,2.24,14021.63,30656.96,2002-04-01,2.35,1.5319148936170213,-0.31610942249240126
Peru,PER,PEN,8.5,3.43,1940.24,6768.2,2002-04-01,2.35,3.6170212765957444,0.05452515352645603
Philippines,PHL,PHP,65.0,51.0,1087.29,48051.4,2002-04-01,2.35,27.659574468085104,-0.45765540258656656
Poland,POL,PLN,5.9,4.04,4485.06,19492.43,2002-04-01,2.35,2.5106382978723403,-0.37855487676427224
Russia,RUS,RUB,39.0,31.2,1901.96,53501.41,2002-04-01,2.35,16.595744680851062,-0.46808510638297873
Singapore,SGP,SGD,3.3,1.82,23852.83,41121.41,2002-04-01,2.35,1.404255319148936,-0.22843114332476047
Sweden,SWE,SEK,26.0,10.4,29589.14,271102.94,2002-04-01,2.35,11.063829787234042,0.06382978723404242
Thailand,THA,THB,55.0,43.3,2003.61,80533.88,2002-04-01,2.35,23.404255319148934,-0.4594860203429807
Turkey,TUR,TRY,4000000.0,1324500.0,4237.96,2649.4,2002-04-01,2.35,1702127.659574468,0.28510959575271266
Taiwan,TWN,TWD,70.0,34.8,14844.24,463648.66,2002-04-01,2.35,29.78723404255319,-0.14404499877720708
United States,USA,USD,2.35,1.0,36312.78,36312.78,2002-04-01,2.35,1.0,0.0
Venezuela,VEN,VEF,2500.0,857.0,4820.65,,2002-04-01,2.35,1063.8297872340424,0.24134164204672398
South Africa,ZAF,ZAR,9.7,10.9,3382.07,23455.19,2002-04-01,2.35,4.127659574468085,-0.6213156353699004
Argentina,ARG,ARS,4.1,2.88,8085.36,8085.36,2003-04-01,2.46,1.6666666666666665,-0.42129629629629634
Australia,AUS,AUD,3.0,1.61,19486.7,37646.94,2003-04-01,2.46,1.2195121951219512,-0.24253900924102414
Brazil,BRA,BRL,4.55,3.07,3256.18,7650.86,2003-04-01,2.46,1.8495934959349594,-0.39752654855538777
Canada,CAN,CAD,3.2,1.45,23859.71,36954.88,2003-04-01,2.46,1.3008130081300815,-0.10288758059994377
Switzerland,CHE,CHF,6.3,1.37,39832.0,67221.08,2003-04-01,2.46,2.5609756097560976,0.8693252625956915
Chile,CHL,CLP,1400.0,716.0,4608.06,2925831.87,2003-04-01,2.46,569.1056910569106,-0.2051596493618567
China,CHN,CNY,9.9,8.28,1044.96,8649.3,2003-04-01,2.46,4.024390243902439,-0.513962530929657
Czech Republic,CZE,CZK,56.57,28.9,6627.1,252064.03,2003-04-01,2.46,22.995934959349594,-0.20429290798098287
Denmark,DNK,DKK,27.75,6.78,30806.61,256397.77,2003-04-01,2.46,11.28048780487805,0.6637887617814232
Egypt,EGY,EGP,8.0,5.92,1566.2,5775.87,2003-04-01,2.46,3.252032520325203,-0.45067018237749945
Euro area,EUZ,EUR,2.71,0.909090909,21754.6228594077,24289.6103541117,2003-04-01,2.46,1.1016260162601625,0.21178861800735765
Britain,GBR,GBP,1.99,0.632911392,27897.13,19375.15,2003-04-01,2.46,0.8089430894308943,0.27813008211881624
Hong Kong,HKG,HKD,11.5,7.8,25166.9,196297.64,2003-04-01,2.46,4.67479674796748,-0.40066708359391284
Hungary,HUN,HUF,490.0,224.0,5269.61,1509676.57,2003-04-01,2.46,199.1869918699187,-0.11077235772357723
